pid,bc,dir,yds,succ,kne
829613,MI-0100,RG,3,0,0
829615,JH-4085,RT,5,1,0
829618,LJ-0150,MD,4,1,0
829619,GE-0150,RT,2,0,0
829623,KD-1462,LT,-1,0,0
829625,KD-1462,LG,-1,0,0
829632,MI-0100,RT,10,1,0
829633,GE-0150,RG,0,0,0
829635,MI-0100,RT,2,0,0
829640,KD-1462,MD,9,1,0
829641,RF-0500,LE,8,1,0
829642,KB-0150,RE,0,0,0
829646,MI-0100,RG,3,0,0
829649,AL-0650,MD,60,1,0
829650,GE-0150,MD,2,0,0
829651,MI-0100,RT,2,0,0
829653,MI-0100,LT,2,1,0
829666,LJ-0150,NL,-1,0,1
829669,KD-1462,LG,5,1,0
829674,MI-0100,RE,4,1,0
829676,JH-4085,RE,-5,0,0
829680,MI-0100,RT,7,1,0
829692,KB-0150,RE,6,0,0
829695,GE-0150,MD,5,1,0
829696,JH-4085,LT,1,0,0
829700,MI-0100,MD,8,1,0
829701,MI-0100,RT,3,0,0
829702,GE-0150,MD,2,0,0
829708,MI-0100,RG,9,1,0
829709,GE-0150,LG,2,1,0
829711,GE-0150,RG,5,1,0
829712,GE-0150,RG,10,1,0
829713,RG-1850,RE,3,1,0
829714,GE-0150,MD,0,0,0
829715,GE-0150,RT,-1,0,0
829720,MW-0650,RT,1,0,0
829723,JH-4085,MD,-1,0,0
829725,GE-0150,LG,2,1,0
829726,GE-0150,RT,2,0,0
829727,GE-0150,LG,4,1,0
829729,JH-4085,RT,4,1,0
829731,GE-0150,RG,5,1,0
829733,RG-1850,RE,3,1,0
829734,JH-4085,LE,10,1,0
829735,RG-1850,MD,4,1,0
829736,RG-1850,NL,-1,0,1
829746,LB-0250,LG,5,1,0
829754,JA-1087,RE,3,1,0
829758,JA-1087,RE,4,1,0
829761,JA-1087,LE,4,0,0
829762,JA-1087,MD,8,0,0
829765,LB-0250,MD,-2,0,0
829766,LB-0250,MD,12,1,0
829770,LB-0250,RT,8,1,0
829771,SD-0175,MD,0,0,0
829775,FG-0200,MD,1,0,0
829779,LB-0250,MD,10,1,0
829781,LB-0250,RG,-1,0,0
829788,LB-0250,MD,0,0,0
829791,FG-0200,MD,9,1,0
829792,FG-0200,LG,1,1,0
829798,JA-1087,MD,8,1,0
829799,JA-1087,MD,1,0,0
829800,JA-1087,MD,0,0,0
829801,LB-0250,LG,4,1,0
829802,LB-0250,LE,2,0,0
829815,JA-1087,NL,-1,0,1
829820,LB-0250,RT,6,1,0
829826,FG-0200,LG,-2,0,0
829829,LB-0250,RT,6,1,0
829830,LB-0250,MD,0,0,0
829832,JC-5680,RE,4,1,0
829834,LB-0250,RT,4,1,0
829840,FG-0200,RG,1,0,0
829841,DS-2177,LE,20,1,0
829842,FG-0200,LT,0,0,0
829846,FG-0200,LE,-2,0,0
829851,LB-0250,LE,5,1,0
829852,TM-3150,MD,2,0,0
829855,LB-0250,MD,-1,0,0
829858,FG-0200,LT,7,1,0
829859,DS-2177,LT,23,1,0
829862,DS-2177,LE,12,1,0
