uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp
105525,5061,LB-0250,0,0,0,0,0,17,10,60,0,9,6,32,1,0,0,0,0,0,1,72,17.2,20.2,23.2,1,7,2019,NYJ,RB,26,1
105526,5061,SD-0175,41,28,175,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,72,13,13,13,1,2,2019,NYJ,QB,14,1
105527,5061,JC-5680,0,0,0,0,0,1,1,4,0,17,14,99,0,0,0,0,0,0,0,65,10.3,17.3,24.3,1,5,2019,NYJ,SWR,82,1
105528,5061,JB-2950,0,0,0,0,0,0,0,0,0,1,1,15,0,0,0,0,0,10,0,6,1.5,2,2.5,1,8,2019,NYJ,LWR,15,2
105529,5061,FG-0200,0,0,0,0,0,11,3,20,0,0,0,0,0,0,0,0,0,0,0,19,2,2,2,1,15,2019,BUF,RB,20,1
105530,5061,DK-0950,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,38,0.1,0.6,1.1,1,1,2019,BUF,TE,88,3
105531,5061,DS-2177,0,0,0,0,0,4,4,70,0,6,5,28,0,0,0,0,0,0,0,48,9.8,12.3,14.8,1,1,2019,BUF,RB,26,2
105532,5061,QE-0100,0,0,0,0,0,0,0,0,0,3,1,-4,0,0,0,0,0,10,0,66,-0.4,0.1,0.6,1,6,2019,NYJ,RWR,81,1
105533,5061,RG-1870,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,68,1,2.5,4,1,7,2019,NYJ,TE,85,1
105534,5061,RA-1125,0,0,0,0,0,0,0,0,0,7,3,23,0,0,0,0,0,0,0,69,2.3,3.8,5.3,1,4,2019,NYJ,LWR,11,1
105535,5061,TS-3656,0,0,0,0,0,0,0,0,0,2,2,35,0,0,0,0,0,0,0,23,3.5,4.5,5.5,1,1,2019,BUF,TE,89,4
105536,5061,BB-1950,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,1,2,2019,NYJ,SWR,10,2
105537,5061,TM-3150,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0.4,0.4,0.4,1,5,2019,NYJ,RB,88,2
105538,5062,MH-0875,0,0,0,0,0,0,0,0,0,1,0,0,0,3,45,0,0,0,0,53,0,0,0,1,1,2019,KC,RWR,17,2
105539,5062,DW-3125,0,0,0,0,0,13,7,26,1,6,6,39,0,0,0,0,0,0,0,45,12.5,15.5,18.5,1,6,2019,KC,RB,26,3
105540,5062,PM-0025,33,25,378,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,59,27.32,27.32,30.32,1,3,2019,KC,QB,15,1
105541,5062,TH-1750,0,0,0,0,0,1,1,5,0,2,2,16,0,1,0,0,0,0,0,12,2.1,3.1,4.1,1,4,2019,KC,LWR,10,1
105542,5062,SW-0450,0,0,0,0,0,0,0,0,0,11,9,198,3,0,0,0,0,0,0,65,37.8,42.3,49.8,1,6,2019,KC,RWR,14,1
105543,5062,LF-0650,0,0,0,0,0,13,6,66,0,6,4,28,0,0,0,0,1,0,0,50,7.4,9.4,12.4,1,3,2019,JAC,RB,27,1
105544,5062,NF-0250,8,5,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,7,7,1,8,2019,JAC,QB,7,1
105545,5062,DC-1418,0,0,0,0,0,0,0,0,0,4,4,146,1,0,0,0,0,0,0,41,20.6,22.6,27.6,1,2,2019,JAC,RWR,17,2
105546,5062,CC-3950,0,0,0,0,0,0,0,0,0,7,6,97,1,0,0,0,0,0,0,44,15.7,18.7,21.7,1,5,2019,JAC,SWR,18,2
105547,5062,TK-0150,0,0,0,0,0,0,0,0,0,8,3,88,0,0,0,0,0,0,0,50,8.8,10.3,11.8,1,7,2019,KC,TE,87,1
105548,5062,JO-0150,0,0,0,0,0,0,0,0,0,5,4,32,0,0,0,0,0,0,0,38,3.2,5.2,7.2,1,5,2019,JAC,TE,80,1
105549,5062,GS-1400,0,0,0,0,0,0,0,0,0,4,4,17,0,0,0,0,0,10,0,29,1.7,3.7,5.7,1,5,2019,JAC,TE,87,1
105550,5062,LM-1000,0,0,0,0,0,10,7,81,0,1,1,12,0,0,0,0,0,0,0,20,9.3,9.8,10.3,1,11,2019,KC,RB,25,2
105551,5062,GM-1350,25,22,275,1,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,47,17.6,18.6,18.6,1,1,2019,JAC,QB,15,2
105552,5062,DW-2275,0,0,0,0,0,1,0,2,0,6,5,30,1,0,0,0,0,0,0,48,9.2,11.7,14.2,1,3,2019,JAC,SWR,12,1
105553,5062,DR-2225,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,43,0,0.5,1,1,4,2019,KC,LWR,11,2
105554,5062,DT-1231,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,2,0.3,0.8,1.3,1,1,2019,KC,RB,25,4
105555,5062,AS-0900,0,0,0,0,0,0,0,0,0,1,1,15,0,0,0,0,0,0,0,10,1.5,2,2.5,1,9,2019,KC,FB,42,1
105556,5062,TE-0350,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,0,0,0,0,0,0,0,0,1,4,2019,JAC,RB,24,3
105557,5062,BB-1550,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,33,0.7,1.2,1.7,1,5,2019,KC,TE,81,3
105558,5062,RA-1337,0,0,0,0,0,1,1,7,0,1,0,0,0,0,0,0,0,0,0,8,0.7,0.7,0.7,1,1,2019,JAC,RB,23,2
105559,5062,MM-4700,1,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,9,-0.1,-0.1,-0.1,1,13,2019,KC,QB,6,2
105560,5063,CM-1225,0,0,0,0,0,19,12,128,2,11,10,81,0,0,0,0,0,0,0,67,32.9,37.9,45.9,1,3,2019,CAR,RB,22,1
105561,5063,CN-0500,38,25,239,1,0,3,0,-2,0,0,0,0,0,0,0,0,1,0,0,67,5.36,6.36,7.36,1,9,2019,CAR,QB,1,1
105562,5063,DM-2850,0,0,0,0,0,0,0,0,0,10,7,76,0,0,0,0,1,0,0,63,5.6,9.1,13.6,1,2,2019,CAR,LWR,12,1
105563,5063,JG-1850,39,23,186,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,77,9.44,10.44,10.44,1,4,2019,LA,QB,16,1
105564,5063,CK-1300,0,0,0,0,0,0,0,0,0,10,7,46,0,0,0,0,0,0,0,69,4.6,8.1,11.6,1,3,2019,LA,LWR,18,1
105565,5063,TG-1950,0,0,0,0,0,14,10,97,0,1,1,4,0,0,0,0,0,0,0,54,10.1,10.6,11.1,1,5,2019,LA,RB,30,1
105566,5063,TH-1550,0,0,0,0,0,0,0,0,0,5,4,20,1,0,0,0,0,0,0,40,8,10,12,1,4,2019,LA,TE,89,1
105567,5063,BC-2325,0,0,0,0,0,0,0,0,0,6,2,39,0,0,0,0,0,0,0,71,3.9,4.9,5.9,1,6,2019,LA,SWR,12,1
105568,5063,GO-0100,0,0,0,0,0,0,0,0,0,9,4,36,0,0,0,0,0,0,0,63,3.6,5.6,7.6,1,13,2019,CAR,TE,88,1
105569,5063,CS-0050,0,0,0,0,0,0,0,0,0,4,3,32,0,0,0,0,0,0,0,62,3.2,4.7,6.2,1,3,2019,CAR,RWR,10,1
105570,5063,RW-4050,0,0,0,0,0,2,1,16,0,13,8,70,0,0,0,0,0,0,0,73,8.6,12.6,16.6,1,7,2019,LA,RWR,17,1
105571,5063,RM-2050,0,0,0,0,0,0,0,0,0,0,0,0,0,4,75,0,0,0,0,0,0,0,0,1,2,2019,CAR,LWR,14,3
105572,5063,JR-1950,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25,0,0,0,1,3,2019,LA,RWR,83,2
105573,5063,CM-0175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,18,0,0,0,1,6,2019,CAR,TE,82,3
105574,5063,MB-3862,0,0,0,0,0,11,8,53,2,0,0,0,0,0,0,0,0,0,0,21,17.3,17.3,17.3,1,5,2019,LA,RB,34,2
105575,5063,JN-0350,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,1,3,2019,LA,LWR,19,2
105576,5063,GE-0400,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,10,0,30,0.7,1.2,1.7,1,3,2019,LA,TE,81,2
105577,5063,IT-0150,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,2019,CAR,TE,80,2
105578,5063,JW-6560,0,0,0,0,0,0,0,0,0,1,1,14,0,0,0,0,0,0,0,40,1.4,1.9,2.4,1,8,2019,CAR,RWR,13,2
105579,5063,DH-2325,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2019,LA,RB,27,3
105580,5063,CH-3350,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,9,2019,CAR,LWR,15,2
105581,5063,AA-0557,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12,6.1,6.1,6.1,1,3,2019,CAR,FB,40,1
105582,5064,DH-3137,0,0,0,0,0,1,1,4,1,2,1,14,0,4,101,0,0,0,0,13,7.8,8.3,8.8,1,2,2019,CLE,RB,25,2
105583,5064,BM-0650,38,25,285,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,9.4,12.4,12.4,1,2,2019,CLE,QB,6,1
105584,5064,RH-1950,0,0,0,0,0,0,0,0,0,3,2,46,0,0,0,0,0,0,0,32,4.6,5.6,6.6,1,4,2019,CLE,LWR,81,2
105585,5064,JL-0215,0,0,0,0,0,1,1,10,0,7,4,67,0,1,0,0,0,0,0,73,7.7,9.7,11.7,1,6,2019,CLE,LWR,80,1
105586,5064,NC-0175,0,0,0,0,0,17,5,75,0,4,3,10,0,0,0,0,0,0,0,51,8.5,10,11.5,1,2,2019,CLE,RB,24,1
105587,5064,OB-0075,0,0,0,0,0,0,0,0,0,11,7,71,0,0,0,0,0,10,0,73,7.1,10.6,14.1,1,6,2019,CLE,RWR,13,1
105588,5064,DJ-0850,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0,5,0,0,0,1,5,2019,TEN,LWR,15,2
105589,5064,MM-0912,24,14,248,0,3,3,2,24,0,0,0,0,0,0,0,0,0,0,0,59,24.32,24.32,24.32,1,5,2019,TEN,QB,8,1
105590,5064,DW-0500,0,0,0,0,0,0,0,0,0,6,5,55,2,0,0,0,0,0,0,29,17.5,20,22.5,1,14,2019,TEN,TE,82,1
105591,5064,DH-2450,0,0,0,0,0,19,10,84,1,2,1,75,1,0,0,0,0,15,0,36,27.9,28.4,28.9,1,4,2019,TEN,RB,22,1
105592,5064,AB-3150,0,0,0,0,0,0,0,0,0,4,3,100,0,0,0,0,0,0,0,26,10,11.5,16,1,1,2019,TEN,RWR,11,2
105593,5064,DL-1700,0,0,0,0,0,3,1,7,0,4,3,6,0,0,0,0,0,0,0,26,1.3,2.8,4.3,1,9,2019,TEN,RB,33,2
105594,5064,DN-1225,0,0,0,0,0,0,0,0,0,6,4,37,1,0,0,0,0,0,0,66,9.7,11.7,13.7,1,3,2019,CLE,TE,85,1
105595,5064,AH-3862,0,0,0,0,0,0,0,0,0,1,1,5,0,4,0,0,0,0,0,22,0.5,1,1.5,1,5,2019,TEN,SWR,10,1
105596,5064,JS-4550,0,0,0,0,0,1,1,10,0,1,1,7,0,0,0,0,0,0,0,37,1.7,2.2,2.7,1,3,2019,TEN,TE,81,1
105597,5064,CD-0975,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,45,0,0,0,1,3,2019,TEN,LWR,84,1
105598,5064,DH-1450,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,13,0,0,0,1,7,2019,CLE,TE,88,1
105599,5064,MP-2350,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,0,0,0,1,5,2019,TEN,TE,85,2
105600,5064,TS-1262,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,30,0,0,0,1,4,2019,TEN,RWR,19,1
105601,5064,DR-0550,0,0,0,0,0,0,0,0,0,2,2,17,0,0,0,0,0,0,0,35,1.7,2.7,3.7,1,2,2019,CLE,RWR,18,2
105602,5064,DJ-0887,0,0,0,0,0,1,0,13,0,2,2,23,0,1,23,0,0,0,0,9,3.6,4.6,5.6,1,1,2019,CLE,RB,30,3
105603,5064,RT-0150,0,0,0,0,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,2,-0.2,-0.2,-0.2,1,8,2019,TEN,QB,17,2
105604,5065,DG-3200,0,0,0,0,0,10,3,18,0,3,3,20,0,0,0,0,0,0,0,24,3.8,5.3,6.8,1,2,2019,WAS,RB,29,1
105605,5065,CK-0250,44,30,380,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,27.2,27.2,30.2,1,8,2019,WAS,QB,8,1
105606,5065,JS-5475,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,14,0.8,1.3,1.8,1,3,2019,WAS,TE,87,3
105607,5065,PR-0150,0,0,0,0,0,0,0,0,0,7,4,36,0,0,0,0,0,0,0,52,3.6,5.6,7.6,1,6,2019,WAS,RWR,10,1
105608,5065,VD-0100,0,0,0,0,0,0,0,0,0,7,4,59,1,0,0,0,0,0,0,55,11.9,13.9,15.9,1,14,2019,WAS,TE,85,2
105609,5065,CW-1425,39,28,313,0,3,4,3,5,0,0,0,0,0,0,0,0,0,0,0,75,25.02,25.02,28.02,1,4,2019,PHI,QB,11,1
105610,5065,ZE-0100,0,0,0,0,0,0,0,0,0,7,5,54,0,0,0,0,0,0,0,62,5.4,7.9,10.4,1,7,2019,PHI,TE,86,1
105611,5065,DJ-0200,0,0,0,0,0,0,0,0,0,10,8,154,2,0,0,0,0,15,0,52,27.4,31.4,38.4,1,12,2019,PHI,RWR,10,1
105612,5065,MS-0125,0,0,0,0,0,11,3,25,0,2,1,2,0,0,0,0,0,0,0,36,2.7,3.2,3.7,1,1,2019,PHI,RB,26,2
105613,5065,DS-3300,0,0,0,0,0,9,4,47,0,3,3,16,0,4,46,0,0,0,1,23,8.3,9.8,11.3,1,15,2019,PHI,RB,43,3
105614,5065,NA-0050,0,0,0,0,0,0,0,0,0,5,2,11,0,0,0,0,0,0,0,60,1.1,2.1,3.1,1,5,2019,PHI,SWR,13,1
105615,5065,TQ-0100,0,0,0,0,0,0,0,0,0,6,4,33,1,3,16,0,0,7,0,65,9.3,11.3,13.3,1,2,2019,WAS,SWR,14,1
105616,5065,KH-0525,0,0,0,0,0,0,0,0,0,2,2,31,0,0,0,0,0,0,0,15,3.1,4.1,5.1,1,1,2019,WAS,RWR,13,2
105617,5065,CT-1220,0,0,0,0,0,3,1,10,0,10,7,68,0,0,0,0,0,0,0,43,7.8,11.3,14.8,1,7,2019,WAS,RB,25,2
