uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
51600,5083,TE-0300,0,0,0,0,0,0,0,1,1,1,0,0
51601,5083,JG-0650,5,3,24,0,0,0,0,0,0,0,0,0
51602,5083,GK-0075,0,0,0,0,0,0,0,1,1,9,0,0
51603,5083,JW-4975,0,0,0,0,5,4,13,0,0,0,0,0
51604,5083,AE-1037,0,0,0,0,0,0,0,1,0,0,0,0
51605,5083,DS-0150,0,0,0,0,0,0,0,2,1,2,0,0
51606,5083,RM-5050,0,0,0,0,1,0,1,1,1,13,0,0
51607,5083,RJ-0450,0,0,0,0,0,0,0,1,0,0,0,0
51608,5083,GB-0350,0,0,0,0,1,0,1,0,0,0,0,0
51609,5084,BR-1100,1,0,0,0,0,0,0,0,0,0,0,0
51610,5084,DJ-1675,0,0,0,0,0,0,0,1,0,0,0,0
51611,5084,JC-4075,0,0,0,0,2,1,1,1,1,-4,0,0
51612,5084,RW-3850,2,2,26,0,0,0,0,0,0,0,0,0
51613,5084,WD-0550,0,0,0,0,0,0,0,2,2,26,0,0
51614,5084,MR-2350,4,4,12,0,0,0,0,0,0,0,0,0
51615,5084,JS-4750,0,0,0,0,0,0,0,1,1,5,0,0
51616,5084,JS-0280,0,0,0,0,2,2,11,0,0,0,0,0
51617,5084,VM-0250,0,0,0,0,0,0,0,2,2,11,0,0
51618,5085,JJ-0587,0,0,0,0,4,2,15,0,0,0,0,0
51619,5085,DC-0725,5,3,19,1,0,0,0,0,0,0,0,0
51620,5085,RG-1650,0,0,0,0,0,0,0,1,0,0,0,0
51621,5085,HR-0062,0,0,0,0,0,0,0,1,1,6,0,0
51622,5085,TW-2875,0,0,0,0,0,0,0,2,1,4,0,0
51623,5085,LM-1000,0,0,0,0,2,0,2,0,0,0,0,0
51624,5085,DW-0675,0,0,0,0,0,0,0,1,1,9,0,0
51625,5085,PM-0025,1,0,0,0,0,0,0,0,0,0,1,0
51626,5085,TK-0150,0,0,0,0,0,0,0,1,0,0,0,0
51627,5086,TG-0025,0,0,0,0,1,1,14,0,0,0,0,0
51628,5086,DM-2787,0,0,0,0,5,2,4,0,0,0,0,0
51629,5086,JF-1900,11,5,37,1,0,0,0,0,0,0,0,0
51630,5086,JH-3625,0,0,0,0,0,0,0,1,0,0,0,0
51631,5086,RF-1400,0,0,0,0,1,1,6,1,0,0,0,0
51632,5086,DH-1050,0,0,0,0,0,0,0,1,0,0,0,0
51633,5086,CS-4462,0,0,0,0,0,0,0,2,2,21,0,0
51634,5086,PL-0275,0,0,0,0,1,0,0,2,0,0,0,0
51635,5086,ES-0200,0,0,0,0,0,0,0,4,3,16,0,0
51636,5087,TG-1950,0,0,0,0,4,3,11,0,0,0,0,0
51637,5087,JG-1850,6,5,26,0,1,1,1,0,0,0,1,0
51638,5087,GE-0400,0,0,0,0,1,0,0,3,3,21,0,0
51639,5087,AK-0050,0,0,0,0,1,1,4,1,0,0,0,0
51640,5087,TB-2650,2,0,0,0,0,0,0,0,0,0,0,0
51641,5087,MT-0875,0,0,0,0,0,0,0,1,0,0,0,0
51642,5087,TH-1550,0,0,0,0,0,0,0,1,1,3,0,0
51643,5087,CK-1300,0,0,0,0,0,0,0,1,0,0,0,0
51644,5087,MB-3862,0,0,0,0,2,1,4,0,0,0,0,0
51645,5087,BC-2325,0,0,0,0,0,0,0,1,1,2,0,0
51646,5088,CW-1425,10,5,24,0,2,2,3,0,0,0,0,0
51647,5088,ZE-0100,0,0,0,0,0,0,0,6,2,12,0,0
51648,5088,JH-5575,0,0,0,0,1,0,4,0,0,0,0,0
51649,5088,JM-2900,1,0,0,0,0,0,0,0,0,0,0,0
51650,5088,NA-0050,0,0,0,0,0,0,0,2,1,4,0,0
51651,5088,IS-0250,0,0,0,0,1,0,1,0,0,0,0,0
51652,5088,MR-2500,2,1,4,1,0,0,0,0,0,0,0,0
51653,5088,JJ-4700,0,0,0,0,0,0,0,1,1,4,0,0
51654,5088,MS-0125,0,0,0,0,2,1,2,0,0,0,0,0
51655,5088,MH-3050,0,0,0,0,0,0,0,2,1,6,0,0
51656,5088,DF-1875,0,0,0,0,1,1,4,0,0,0,0,0
51657,5088,AH-3650,0,0,0,0,0,0,0,1,0,0,0,0
51658,5088,DS-3300,0,0,0,0,0,0,0,1,1,2,0,0
51659,5089,NC-0175,0,0,0,0,2,1,18,0,0,0,0,0
51660,5089,BM-0650,2,0,0,0,0,0,0,0,0,0,0,0
51661,5089,JL-0215,0,0,0,0,0,0,0,1,0,0,0,0
51662,5089,LF-0025,3,2,5,0,0,0,0,0,0,0,0,0
51663,5089,TM-3150,0,0,0,0,0,0,0,1,1,4,0,0
51664,5089,LB-0250,0,0,0,0,1,1,4,1,1,1,0,0
51665,5089,RA-1125,0,0,0,0,0,0,0,1,0,0,0,0
