uid,pid,ptm,pen,desc,cat,pey,act
75591,832075,TB,,Delay of Game,3,1,A
75592,832099,ARI,CW-0750,Fair Catch Interference,6,15,A
75593,832113,BAL,OB-0350,Offensive Holding,2,0,D
75594,832132,ARI,JM-6950,False Start,1,5,A
75595,832136,BAL,CC-1950,Offensive Holding,2,10,A
75596,832146,ARI,CM-1600,Unnecessary Roughness,6,15,A
75597,832156,ARI,CP-1300,Neutral Zone,4,5,A
75598,832157,BAL,OB-0350,Offensive Holding,2,9,A
75599,832167,BAL,MS-2050,Ineligible Downfield Pass,3,5,A
75600,832170,ARI,CM-0250,Illegal Block Above the Waist,7,10,A
75601,832175,BAL,,Defensive Too Many Men on Field,8,5,A
75602,832180,BAL,,Defensive Too Many Men on Field,8,3,A
75603,832182,BAL,AL-0650,Offensive Holding,2,10,A
75604,832187,BAL,OB-0350,Illegal Formation,3,0,D
75605,832187,ARI,CM-0250,Horse Collar,7,14,A
75606,832196,BAL,NB-0450,Offensive Holding,2,10,A
75607,832200,BAL,,Delay of Game,3,5,A
75608,832206,BAL,AA-0590,Defensive Pass Interference,5,0,A
75609,832233,ARI,JS-7450,Offensive Holding,2,4,A
75610,832235,ARI,DH-4550,False Start,1,2,A
75611,832241,BAL,RS-2650,Illegal Formation,3,5,A
75612,832261,NYG,TJ-2350,False Start,1,5,A
75613,832286,BUF,DD-0687,False Start,1,4,A
75614,832304,BUF,MM-5350,Offensive Holding,2,10,A
75615,832318,BUF,TM-3450,Defensive Offside,4,0,D
75616,832325,NYG,MG-0925,Neutral Zone,4,5,A
75617,832326,BUF,JA-1087,Intentional Grounding,3,0,D
75618,832326,BUF,CF-0875,Unnecessary Roughness,6,15,A
75619,832339,NYG,BF-0950,Illegal Formation,3,5,A
75620,832343,NYG,NS-0500,Offensive Holding,2,10,A
75621,832348,BUF,CF-0875,False Start,1,5,A
75622,832350,NYG,DB-0325,Defensive Pass Interference,5,9,A
75623,832359,BUF,DD-0687,False Start,1,5,A
75624,832379,BUF,DK-0950,Illegal Blindside Block,8,15,A
