uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
118229,5075,832148,ARI,5,KOFF,2,1,6,6,6,2,0,1,0,4,1,13,5,1,0,0,17,PUNT
118230,5075,832155,BAL,5,PUNT,2,1,44,45,3,0,0,0,0,2,2,-7,1,0,5,9,-9,PUNT
118231,5075,832161,ARI,6,PUNT,2,0,59,17,4,1,0,1,0,0,0,17,4,1,0,0,17,ENDQ
118232,5075,832166,BAL,6,KOFF,3,2,12,25,3,1,0,0,0,11,1,-2,2,1,0,5,4,PUNT
118233,5075,832171,ARI,7,PUNT,3,3,48,17,9,4,0,3,0,2,2,71,6,4,8,0,81,FG
118234,5075,832183,BAL,7,KOFF,3,9,4,20,16,5,0,4,1,35,5,36,10,6,14,15,70,FG
118235,5075,832203,ARI,8,KOFF,4,2,4,21,5,5,1,2,0,1,1,78,3,3,0,0,79,TD
118236,5075,832210,BAL,8,KOFF,4,3,56,25,9,4,1,2,0,16,3,26,5,3,0,0,42,FG
118237,5075,832220,ARI,9,KOFF,4,1,26,25,3,0,0,0,0,0,0,1,3,1,0,0,1,PUNT
118238,5075,832224,BAL,9,PUNT,4,3,42,31,7,3,2,0,0,24,4,0,3,1,0,0,24,PUNT
118239,5075,832232,ARI,10,PUNT,4,0,35,9,3,0,0,0,0,0,0,0,3,0,0,6,-6,PUNT
118240,5075,832238,BAL,10,PUNT,4,3,13,45,8,3,1,1,0,12,7,41,1,1,0,5,48,ENDQ
118241,5076,832248,NYG,1,KOFF,1,2,24,25,5,5,3,0,0,75,5,0,0,0,0,0,75,TD
118242,5076,832255,BUF,1,KOFF,1,2,14,25,3,1,0,0,0,4,1,-1,2,1,0,0,3,PUNT
118243,5076,832259,NYG,2,PUNT,1,0,53,30,3,1,0,0,0,5,1,0,2,0,0,5,0,PUNT
118244,5076,832264,BUF,2,PUNT,1,5,46,25,10,8,2,3,0,29,6,46,4,4,0,0,75,TD
118245,5076,832276,NYG,3,KOFF,1,1,4,22,3,0,0,0,0,1,1,0,2,0,0,0,1,PUNT
118246,5076,832280,BUF,3,PUNT,1,4,15,30,11,6,1,4,0,23,3,51,8,4,0,4,70,TD
118247,5076,832294,NYG,4,KOFF,2,1,28,25,4,1,0,1,0,1,1,14,3,1,0,0,15,PUNT
118248,5076,832299,BUF,4,PUNT,2,4,26,2,7,6,1,4,0,5,2,103,5,5,0,10,98,TD
118249,5076,832309,NYG,5,KOFF,2,5,41,14,14,6,1,3,0,9,3,48,10,7,0,0,57,MFG
118250,5076,832323,BUF,5,MFG,2,0,34,38,3,0,0,0,0,-2,1,4,2,1,5,15,7,PUNT
