gid,pid,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,fd,sg,nh,pts,tck,sk,pen,ints,fum,saf,blk,eps,epa
5058,829363,CHI,GB,PASS,2,39,3,5,25,3,7,3,2,1,15,40,2,1,1,0,0,1,0,0,0,0,0,0,1.82,1.8
5058,829364,CHI,GB,PASS,3,34,3,4,46,3,7,3,2,1,10,67,4,0,1,0,0,1,0,0,0,0,0,0,3.62,0.02
5058,829365,CHI,GB,PASS,4,7,3,4,12,3,7,3,2,2,5,72,4,0,1,0,0,0,0,0,0,0,0,0,3.64,-0.67
5058,829366,CHI,GB,NOPL,4,20,3,4,5,3,7,3,2,3,5,72,4,0,0,0,0,0,0,1,0,0,0,0,2.97,-0.62
5058,829367,CHI,GB,PASS,5,30,3,4,5,3,7,3,2,3,10,67,4,0,1,0,0,0,0,0,0,0,0,0,2.35,-0.91
5058,829368,CHI,GB,RUSH,6,6,3,4,0,3,7,3,2,4,10,67,4,0,1,0,0,1,0,0,0,0,0,0,1.44,-2.73
5058,829369,GB,CHI,RUSH,1,36,3,3,54,7,3,2,3,1,10,30,2,0,0,0,0,1,0,0,0,0,0,0,1.29,0.62
5058,829370,GB,CHI,RUSH,2,47,3,3,18,7,3,2,3,2,1,39,2,1,0,0,0,1,0,0,0,0,0,0,1.91,0.46
5058,829371,GB,CHI,RUSH,3,33,3,2,31,7,3,2,3,1,10,45,3,0,0,0,0,1,0,0,0,0,0,0,2.37,-0.4
5058,829372,GB,CHI,PASS,4,35,3,1,58,7,3,2,3,2,8,47,3,1,1,0,0,1,0,0,0,0,0,0,1.97,1.14
5058,829373,GB,CHI,RUSH,5,41,3,1,23,7,3,2,3,1,10,57,3,0,1,0,0,1,0,0,0,0,0,0,3.11,-0.79
5058,829374,GB,CHI,NOPL,5,23,3,0,42,7,3,2,3,2,12,55,3,0,0,0,0,0,0,1,0,0,0,0,2.32,-0.45
5058,829375,GB,CHI,PASS,6,7,3,0,19,7,3,2,3,2,17,50,3,0,1,0,0,0,0,0,0,0,0,0,1.87,-0.79
5058,829376,GB,CHI,PASS,7,30,3,0,12,7,3,2,3,3,17,50,3,0,1,0,0,0,0,1,0,0,0,0,1.08,-0.93
5058,829377,CHI,GB,PUNT,0,7,4,15,0,3,7,3,2,4,17,50,3,0,0,0,0,0,0,0,0,0,0,0,0.15,-0.09
5058,829378,CHI,GB,PASS,1,5,4,14,53,3,7,3,2,1,10,13,1,0,1,0,0,0,0,0,0,0,0,0,-0.06,-0.61
5058,829379,CHI,GB,PASS,2,23,4,14,48,3,7,3,2,2,10,13,1,1,1,0,0,1,0,1,0,0,0,0,-0.67,2.84
5058,829380,CHI,GB,PASS,3,41,4,14,25,3,7,3,2,1,10,42,3,1,0,0,0,1,0,0,0,0,0,0,2.17,0.94
5058,829381,CHI,GB,NOPL,3,9,4,13,44,3,7,3,1,1,10,57,3,0,0,0,0,0,0,1,0,0,0,0,3.11,-1.15
5058,829382,CHI,GB,NOPL,3,22,4,13,35,3,7,3,1,1,20,47,3,0,0,0,0,0,0,1,0,0,0,0,1.96,-1.14
5058,829383,CHI,GB,NOPL,3,34,4,13,13,3,7,3,1,1,30,37,2,0,0,0,0,0,0,1,0,0,0,0,0.82,-1.2
5058,829384,CHI,GB,PASS,4,6,4,12,39,3,7,3,1,1,40,27,2,0,1,0,0,0,0,0,0,0,0,0,-0.38,-0.48
5058,829385,CHI,GB,PASS,5,5,4,12,33,3,7,3,1,2,40,27,2,0,1,0,0,0,0,0,0,0,0,0,-0.86,-0.65
5058,829386,CHI,GB,PASS,6,33,4,12,28,3,7,3,1,3,40,27,2,0,1,0,0,1,0,0,0,0,0,0,-1.51,0.45
5058,829387,GB,CHI,PUNT,0,7,4,11,55,7,3,1,3,4,31,36,2,0,0,0,0,0,0,1,0,0,0,0,-1.06,1.68
5058,829388,GB,CHI,RUSH,1,41,4,11,48,7,3,1,3,1,10,6,1,0,0,0,0,1,0,0,0,0,0,0,-0.62,-0.45
