gid,pid,detail,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,ptck1,ptck2,sk1,sk2,ptm1,pen1,desc1,cat1,pey1,act1,ptm2,pen2,desc2,cat2,pey2,act2,ptm3,pen3,desc3,cat3,pey3,act3,ints,iry,fum,frcv,fry,forc,fuml,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry,eps,epa
5058,829295,(:22) (Shotgun) M.Trubisky pass incomplete short middle to T.Gabriel (J.Alexander).,CHI,GB,PASS,5,6,1,0,22,3,0,2,3,1,10,28,2,,,,Y,,,,,,,,MT-1800,,,SM,TG-0025,JA-0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,-0.64
5058,829296,(:16) (Shotgun) D.Montgomery right guard to CHI 29 for 1 yard (B.Martinez).,CHI,GB,RUSH,6,35,1,0,16,3,0,2,3,2,10,28,2,1,,,Y,,,DM-2787,,RG,BM-0345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,-0.51
5058,829297,(15:00) M.Trubisky pass incomplete deep left to C.Patterson (K.King).,CHI,GB,PASS,7,6,2,15,0,3,0,2,3,3,9,29,2,,,,,,,,,,,,MT-1800,,,DL,CP-0750,KK-0750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,-1.08
5058,829298,"(14:54) (Punt formation) P.O'Donnell punts 46 yards to GB 25, Center-P.Scales. T.Davis to GB 26 for 1 yard (K.Pierre-Louis).",GB,CHI,PUNT,0,11,2,14,54,0,3,3,2,4,9,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PO-0050,46,45,,TD-0737,1,,,,,,,,-1.09,0.1
5058,829299,(14:43) A.Rodgers pass deep middle to M.Valdes-Scantling to CHI 27 for 47 yards (P.Amukamara).,GB,CHI,PASS,1,35,2,14,43,0,3,2,2,1,10,26,2,47,Y,Y,,,,,,,,,AR-1300,Y,,DM,MV-0012,,PA-0300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,2.9
5058,829300,(14:08) A.Rodgers pass short middle to M.Lewis pushed ob at CHI 18 for 9 yards (L.Floyd).,GB,CHI,PASS,2,24,2,14,8,0,3,2,2,1,10,73,4,9,Y,,,,,,,,,,AR-1300,Y,,SM,ML-1500,,LF-0450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89,0.36
5058,829301,(13:44) A.Rodgers pass short right to D.Adams to CHI 8 for 10 yards (E.Jackson).,GB,CHI,PASS,3,29,2,13,44,0,3,2,2,2,1,82,5,10,Y,Y,,,,,,,,,AR-1300,Y,,SR,DA-0212,,EJ-0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,0.82
5058,829302,"(13:15) A.Rodgers pass short right to J.Graham for 8 yards, TOUCHDOWN. Penalty on CHI, Defensive Too Many Men on Field, declined.",GB,CHI,PASS,4,7,2,13,15,0,3,2,2,1,8,92,5,8,Y,Y,,,7,,,,,,AR-1300,Y,,SR,JG-2900,,,,,,CHI,,Defensive Too Many Men on Field,8,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07,1.93
5058,829303,"M.Crosby extra point is GOOD, Center-H.Bradley, Holder-J.Scott.",GB,CHI,FGXP,4,3,2,13,8,7,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XP,MC-3000,33,Y,,,,,,,,,,,,,,0,0
5058,829304,"M.Crosby kicks 65 yards from GB 35 to end zone, Touchback.",CHI,GB,KOFF,0,6,2,13,8,3,7,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MC-3000,65,40,Y,,,0,0
5058,829305,(13:08) (Shotgun) M.Trubisky pass deep left to A.Robinson to GB 48 for 27 yards (T.Brown).,CHI,GB,PASS,1,30,2,13,8,3,7,2,2,1,10,25,2,27,Y,Y,Y,,,,,,,,MT-1800,Y,,DL,AR-1250,,TB-3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,1.94
5058,829306,(12:24) (Shotgun) M.Trubisky pass incomplete short middle to A.Robinson (T.Williams).,CHI,GB,PASS,2,5,2,12,24,3,7,2,2,1,10,52,3,,,,Y,,,,,,,,MT-1800,,,SM,AR-1250,TW-2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,-0.64
